episode,reward,queue_length,wait_time,co2_emissions,timestamp
0,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:43:40.600252
1,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:43:46.711193
2,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:43:52.289263
3,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:43:56.847674
4,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:44:01.247609
5,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:44:05.418104
6,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:44:09.857163
7,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:44:13.902654
8,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:44:17.861470
9,-30189.107,41.929317,33.30416666666667,41276.1609495383,2026-04-15T01:44:22.054385
